Date,Open,High,Low,Close,Adj. close,Volume
11/20/2008,805.87,820.52,747.78,752.44,752.44,"9,09,37,40,000"
11/19/2008,859.03,864.57,806.18,806.58,806.58,"6,54,86,00,000"
11/18/2008,852.34,865.90,826.84,859.12,859.12,"6,67,94,70,000"
11/17/2008,873.23,882.29,848.98,850.75,850.75,"4,92,74,90,000"
11/14/2008,904.36,916.88,869.88,873.29,873.29,"5,88,10,30,000"
11/13/2008,853.13,913.01,818.69,911.29,911.29,"7,84,91,20,000"
11/12/2008,893.39,893.39,850.48,852.30,852.30,"5,76,41,80,000"
11/11/2008,917.15,917.15,884.90,898.95,898.95,"4,99,83,40,000"
11/10/2008,936.75,951.95,907.47,919.21,919.21,"4,57,20,00,000"
11/7/2008,907.44,931.46,906.90,930.99,930.99,"4,93,16,40,000"
11/6/2008,952.40,952.40,899.73,904.88,904.88,"6,10,22,30,000"
11/5/2008,1001.84,1001.84,949.86,952.77,952.77,"5,42,66,40,000"
11/4/2008,971.31,1007.51,971.31,1005.75,1005.75,"5,53,12,90,000"
11/3/2008,968.67,975.57,958.82,966.30,966.30,"4,49,22,80,000"
10/31/2008,953.11,984.38,944.59,968.75,968.75,"6,39,43,50,000"
10/30/2008,939.38,963.23,928.50,954.09,954.09,"6,17,58,30,000"
10/29/2008,939.51,969.97,922.26,930.09,930.09,"7,07,78,00,000"
10/28/2008,848.92,940.51,845.27,940.51,940.51,"7,09,69,50,000"
10/27/2008,874.28,893.78,846.75,848.92,848.92,"5,55,80,50,000"
10/24/2008,895.22,896.30,852.85,876.77,876.77,"6,55,00,50,000"
10/23/2008,899.08,922.83,858.44,908.11,908.11,"7,18,99,00,000"
10/22/2008,951.67,951.67,875.81,896.78,896.78,"6,14,79,80,000"
10/21/2008,980.40,985.44,952.47,955.05,955.05,"5,12,18,30,000"
10/20/2008,943.51,985.40,943.51,985.40,985.40,"5,17,56,40,000"
10/17/2008,942.29,984.64,918.74,940.55,940.55,"6,58,17,80,000"
10/16/2008,909.53,947.71,865.83,946.43,946.43,"7,98,45,00,000"
10/15/2008,994.60,994.60,903.99,907.84,907.84,"6,54,23,30,000"
10/14/2008,1009.97,1044.31,972.07,998.01,998.01,"8,16,19,90,000"
10/13/2008,912.75,1006.93,912.75,1003.35,1003.35,"7,26,33,70,000"
10/10/2008,902.31,936.36,839.80,899.22,899.22,"11,45,62,30,000"
10/9/2008,988.42,1005.25,909.19,909.92,909.92,"6,81,90,00,000"
10/8/2008,988.91,1021.06,970.97,984.94,984.94,"8,71,63,30,000"
10/7/2008,1057.60,1072.91,996.23,996.23,996.23,"7,06,92,10,000"
10/6/2008,1097.56,1097.56,1007.97,1056.89,1056.89,"7,95,60,20,000"
10/3/2008,1115.16,1153.82,1098.14,1099.23,1099.23,"6,71,61,20,000"
10/2/2008,1160.64,1160.64,1111.43,1114.28,1114.28,"6,28,56,40,000"
10/1/2008,1164.17,1167.03,1140.77,1161.06,1161.06,"5,78,21,30,000"
9/30/2008,1113.78,1168.03,1113.78,1166.36,1166.36,"4,93,76,80,000"
9/29/2008,1209.07,1209.07,1106.42,1106.42,1106.42,"7,30,50,60,000"
9/26/2008,1204.47,1215.77,1187.54,1213.27,1213.27,"5,38,36,10,000"
9/25/2008,1187.87,1220.03,1187.87,1209.18,1209.18,"5,87,76,40,000"
9/24/2008,1188.79,1197.41,1179.79,1185.87,1185.87,"4,82,03,60,000"
9/23/2008,1207.61,1221.15,1187.06,1188.22,1188.22,"5,18,57,30,000"
9/22/2008,1255.37,1255.37,1205.61,1207.09,1207.09,"5,36,81,30,000"
9/19/2008,1213.11,1265.12,1213.11,1255.08,1255.08,"9,38,71,70,000"
9/18/2008,1157.08,1211.14,1133.50,1206.51,1206.51,"10,08,26,90,000"
9/17/2008,1210.34,1210.34,1155.88,1156.39,1156.39,"9,43,18,70,000"
9/16/2008,1188.31,1214.84,1169.28,1213.60,1213.60,"9,45,98,30,000"
9/15/2008,1250.92,1250.92,1192.70,1192.70,1192.70,"8,27,95,10,000"
9/12/2008,1245.88,1255.09,1233.81,1251.70,1251.70,"6,27,32,60,000"
9/11/2008,1229.04,1249.98,1211.54,1249.05,1249.05,"6,86,92,50,000"
9/10/2008,1227.50,1243.90,1221.60,1232.04,1232.04,"6,54,34,40,000"
9/9/2008,1267.98,1268.66,1224.51,1224.51,1224.51,"7,38,06,30,000"
9/8/2008,1249.50,1274.42,1247.12,1267.79,1267.79,"7,35,13,40,000"
9/5/2008,1233.21,1244.94,1217.23,1242.31,1242.31,"5,01,70,80,000"
9/4/2008,1271.80,1271.80,1232.83,1236.83,1236.83,"5,21,25,00,000"
