Date,Price,Open,High,Low,Vol.,Change %
7-Dec-19,0.0023,0.0023,0.0023,0.0022,3.79B,-0.0199
6-Dec-19,0.0023,0.0023,0.0024,0.0023,3.58B,0.0027
5-Dec-19,0.0023,0.0023,0.0023,0.0022,3.84B,0.0164
4-Dec-19,0.0023,0.0023,0.0024,0.0022,4.28B,-0.0010
3-Dec-19,0.0023,0.0023,0.0023,0.0022,3.49B,-0.0118
2-Dec-19,0.0023,0.0024,0.0024,0.0023,2.90B,-0.0189
1-Dec-19,0.0024,0.0024,0.0028,0.0023,3.55B,-0.0119
30-Nov-19,0.0024,0.0029,0.0029,0.0024,4.00B,-0.1708
29-Nov-19,0.0029,0.0024,0.0029,0.0024,3.85B,0.1890
28-Nov-19,0.0024,0.0024,0.0024,0.0024,3.69B,0.0161
27-Nov-19,0.0024,0.0023,0.0024,0.0018,4.44B,0.0269
26-Nov-19,0.0023,0.0025,0.0026,0.0023,4.10B,-0.0559
25-Nov-19,0.0025,0.0028,0.0029,0.0022,5.33B,-0.1151
24-Nov-19,0.0028,0.0030,0.0030,0.0023,4.24B,-0.0579
23-Nov-19,0.0030,0.0024,0.0030,0.0023,4.27B,0.2215
22-Nov-19,0.0024,0.0025,0.0031,0.0024,5.13B,-0.0334
21-Nov-19,0.0025,0.0027,0.0027,0.0024,4.41B,-0.0563
20-Nov-19,0.0027,0.0026,0.0032,0.0026,3.75B,0.0176
19-Nov-19,0.0026,0.0026,0.0026,0.0026,3.70B,-0.0108
18-Nov-19,0.0026,0.0027,0.0032,0.0026,3.82B,-0.0397
17-Nov-19,0.0027,0.0027,0.0030,0.0027,3.08B,0.0232
16-Nov-19,0.0027,0.0027,0.0027,0.0027,3.20B,-0.0104
15-Nov-19,0.0027,0.0027,0.0028,0.0027,3.54B,-0.0115
14-Nov-19,0.0027,0.0028,0.0028,0.0027,3.00B,-0.0128
13-Nov-19,0.0028,0.0028,0.0028,0.0027,2.75B,-0.0014
12-Nov-19,0.0028,0.0028,0.0028,0.0027,2.92B,0.0020
11-Nov-19,0.0028,0.0028,0.0028,0.0027,3.03B,-0.0176
10-Nov-19,0.0028,0.0027,0.0028,0.0025,3.51B,0.0301
9-Nov-19,0.0027,0.0028,0.0028,0.0027,3.31B,-0.0203
